episodio,recompensa,feromona_media,feromona_max,peso_aco_aplicado
0,6.320000000000034,1.0010201930999756,1.2489126920700073,1.0
1,5.460000000000052,1.001989722251892,1.553338646888733,0.99993
2,7.600000000000007,1.0029107332229614,1.7247536182403564,0.99986
3,9.16,1.003785490989685,1.8072611093521118,0.99979
4,5.140000000000059,1.004616618156433,2.1489975452423096,0.99972
5,6.700000000000026,1.005406141281128,2.223365545272827,0.99965
6,7.999999999999998,1.006156086921692,2.5121967792510986,0.99958
7,8.559999999999999,1.0068687200546265,2.539198160171509,0.99951
8,6.96000000000002,1.0075455904006958,3.3665268421173096,0.99944
9,8.98,1.0081888437271118,3.2646682262420654,0.99937
10,9.379999999999999,1.0087997913360596,3.5221617221832275,0.9993
11,8.68,1.0093801021575928,3.5733261108398438,0.99923
12,9.219999999999999,1.0099315643310547,3.3946597576141357,0.99916
13,9.48,1.0104554891586304,3.481419563293457,0.99909
14,9.6,1.0109529495239258,3.718574047088623,0.99902
15,9.72,1.0114257335662842,4.004819393157959,0.99895
16,9.44,1.0118749141693115,4.35842227935791,0.99888
17,9.7,1.0123015642166138,4.807168006896973,0.99881
18,9.64,1.0127068758010864,5.1223649978637695,0.99874
19,9.56,1.0130919218063354,5.586048603057861,0.99867
20,9.72,1.0134577751159668,5.306746006011963,0.9986
21,9.52,1.0138051509857178,6.058455467224121,0.99853
22,9.56,1.0141353607177734,6.519451141357422,0.99846
23,9.32,1.014449119567871,6.791286945343018,0.99839
24,9.3,1.014746904373169,7.020359039306641,0.99832
25,9.68,1.015030026435852,6.669341087341309,0.99825
26,9.8,1.015298843383789,6.335874080657959,0.99818
27,9.74,1.0155541896820068,6.01908016204834,0.99811
28,9.76,1.0157970190048218,5.722607135772705,0.99804
29,9.64,1.0160274505615234,5.992032051086426,0.99797
30,9.82,1.0162465572357178,6.80354118347168,0.9979
31,9.72,1.0164545774459839,7.534792900085449,0.99783
32,9.72,1.0166523456573486,7.515196323394775,0.99776
33,9.46,1.0168401002883911,7.694991111755371,0.99769
34,9.78,1.0170185565948486,8.219332695007324,0.99762
35,9.86,1.0171878337860107,8.522651672363281,0.99755
36,9.8,1.0173488855361938,8.596518516540527,0.99748
37,9.6,1.0175018310546875,8.666692733764648,0.99741
38,9.86,1.0176472663879395,8.947644233703613,0.99734
39,9.84,1.0177851915359497,9.125262260437012,0.99727
40,9.68,1.0179163217544556,8.668998718261719,0.9972
41,9.76,1.0180408954620361,8.235548973083496,0.99713
42,9.8,1.0181593894958496,7.8237714767456055,0.99706
43,9.8,1.018271803855896,7.932582855224609,0.99699
44,9.66,1.018695592880249,7.830070972442627,0.99692
45,9.8,1.0216128826141357,8.438567161560059,0.99685
46,9.82,1.0243842601776123,8.071518898010254,0.99678
47,9.88,1.0270169973373413,8.501276016235352,0.99671
48,9.86,1.0295182466506958,8.790497779846191,0.99664
49,9.8,1.031894326210022,8.850973129272461,0.99657
