episodio,recompensa,feromona_media,feromona_max,peso_aco_aplicado
0,-4.999999999999938,0.9899998307228088,0.9900000095367432,1.0
1,8.5,1.0311205387115479,1.3134336471557617,0.99993
2,8.879999999999999,1.0718296766281128,1.836013674736023,0.99986
3,-4.999999999999938,1.061111330986023,1.8176535367965698,0.99979
4,8.84,1.1015206575393677,2.230511426925659,0.99972
5,9.18,1.1415261030197144,2.452108860015869,0.99965
6,9.059999999999999,1.18113112449646,2.746737003326416,0.99958
7,8.559999999999999,1.2203402519226074,2.7887141704559326,0.99951
8,9.5,1.2591571807861328,2.76082706451416,0.99944
9,9.42,1.29758620262146,2.9727160930633545,0.99937
10,9.54,1.3356306552886963,3.341482400894165,0.9993
11,8.579999999999998,1.373294711112976,3.4574265480041504,0.99923
12,9.54,1.4105823040008545,4.048007965087891,0.99916
13,7.760000000000003,1.4474968910217285,4.052170753479004,0.99909
14,8.62,1.4840424060821533,4.22904109954834,0.99902
15,9.62,1.5202223062515259,4.44990873336792,0.99895
16,9.2,1.5560405254364014,4.530409812927246,0.99888
17,9.059999999999999,1.5915005207061768,4.591488838195801,0.99881
18,9.3,1.6266058683395386,4.688431262969971,0.99874
19,5.520000000000051,1.6613601446151733,4.923802375793457,0.99867
20,8.68,1.695766806602478,5.119142055511475,0.9986
21,9.24,1.7298299074172974,5.857424259185791,0.99853
22,9.379999999999999,1.7635518312454224,7.411751747131348,0.99846
23,9.18,1.7969366312026978,7.459585189819336,0.99839
24,9.2,1.829987645149231,8.009988784790039,0.99832
25,8.239999999999998,1.8627082109451294,8.327615737915039,0.99825
26,9.66,1.8951014280319214,9.714929580688477,0.99818
27,9.16,1.9266915321350098,10.0,0.99811
28,7.9399999999999995,1.9577168226242065,10.0,0.99804
29,9.46,1.9887253046035767,10.0,0.99797
30,8.479999999999999,2.019026041030884,10.0,0.9979
31,9.44,2.049455404281616,10.0,0.99783
32,9.54,2.0793824195861816,10.0,0.99776
33,9.4,2.1041669845581055,10.0,0.99769
34,8.44,2.134145736694336,9.964101791381836,0.99762
35,9.12,2.1592979431152344,10.0,0.99755
36,8.379999999999999,2.188606023788452,10.0,0.99748
37,9.68,2.215061664581299,10.0,0.99741
38,8.28,2.2433462142944336,10.0,0.99734
39,9.379999999999999,2.271620273590088,10.0,0.99727
40,7.979999999999999,2.2958931922912598,10.0,0.9972
41,8.66,2.3230714797973633,10.0,0.99713
42,9.5,2.345759391784668,10.0,0.99706
43,8.62,2.3681554794311523,10.0,0.99699
44,9.44,2.3871829509735107,10.0,0.99692
45,9.66,2.4032297134399414,10.0,0.99685
46,9.42,2.4230926036834717,10.0,0.99678
47,9.74,2.439639091491699,10.0,0.99671
48,9.8,2.455153226852417,10.0,0.99664
49,9.44,2.478597402572632,10.0,0.99657
50,9.14,2.498690128326416,10.0,0.9965
51,9.5,2.5140087604522705,10.0,0.99643
52,9.4,2.533081293106079,10.0,0.99636
53,9.5,2.5541744232177734,10.0,0.99629
54,9.84,2.564466953277588,10.0,0.99622
55,9.18,2.5864479541778564,10.0,0.99615
56,9.24,2.601909637451172,10.0,0.99608
57,9.76,2.6123263835906982,10.0,0.99601
58,9.26,2.633711099624634,10.0,0.99594
59,9.54,2.646141767501831,10.0,0.99587
60,9.34,2.657641649246216,10.0,0.9958
61,9.56,2.6757259368896484,10.0,0.99573
62,9.52,2.6886801719665527,10.0,0.99566
63,9.56,2.695204019546509,10.0,0.99559
64,9.64,2.708177328109741,10.0,0.99552
65,9.74,2.7074384689331055,10.0,0.99545
66,9.7,2.7087514400482178,10.0,0.99538
67,9.76,2.705916166305542,10.0,0.99531
68,9.7,2.7143962383270264,10.0,0.99524
69,9.42,2.7344369888305664,10.0,0.99517
70,9.54,2.7462687492370605,10.0,0.9951
71,9.82,2.748478412628174,10.0,0.99503
72,9.8,2.7429065704345703,10.0,0.99496
73,9.44,2.761979103088379,10.0,0.99489
74,9.64,2.7676103115081787,10.0,0.99482
75,9.78,2.7623422145843506,10.0,0.99475
76,9.82,2.756401300430298,10.0,0.99468
77,9.72,2.758647918701172,10.0,0.99461
78,9.66,2.75407075881958,10.0,0.99454
79,9.8,2.7474122047424316,10.0,0.99447
80,9.82,2.7445828914642334,10.0,0.9944
81,9.62,2.7518796920776367,10.0,0.99433
82,9.84,2.7435302734375,10.0,0.99426
83,9.86,2.7330269813537598,10.0,0.99419
84,9.82,2.729820966720581,10.0,0.99412
85,9.78,2.7354490756988525,10.0,0.99405
86,9.5,2.7437479496002197,10.0,0.99398
87,9.8,2.7418203353881836,10.0,0.99391
88,9.84,2.7309062480926514,10.0,0.99384
89,9.86,2.719632625579834,10.0,0.99377
90,9.78,2.7293128967285156,10.0,0.9937
91,9.46,2.749053716659546,10.0,0.99363
92,9.6,2.762373208999634,10.0,0.99356
93,9.64,2.780775308609009,10.0,0.99349
94,9.44,2.793769598007202,10.0,0.99342
95,9.72,2.8094637393951416,10.0,0.99335
96,9.84,2.802820920944214,10.0,0.99328
97,9.62,2.8062713146209717,10.0,0.99321
98,9.82,2.8028526306152344,10.0,0.99314
99,9.88,2.7884297370910645,10.0,0.99307
100,9.72,2.7975006103515625,10.0,0.993
101,9.54,2.8024353981018066,10.0,0.99293
102,9.82,2.7970197200775146,10.0,0.99286
103,9.88,2.7813310623168945,10.0,0.99279
104,9.82,2.7753124237060547,10.0,0.99272
105,9.84,2.7684781551361084,10.0,0.99265
106,9.68,2.786207914352417,10.0,0.99258
107,9.56,2.7948739528656006,10.0,0.99251
108,9.78,2.792388677597046,10.0,0.99244
109,9.88,2.774092674255371,10.0,0.99237
110,9.78,2.778684616088867,10.0,0.9923
111,9.74,2.785548210144043,10.0,0.99223
112,9.8,2.787039041519165,10.0,0.99216
113,9.82,2.7832064628601074,10.0,0.99209
114,9.82,2.7868995666503906,10.0,0.99202
115,9.72,2.7852914333343506,10.0,0.99195
116,9.88,2.776029586791992,10.0,0.99188
117,9.86,2.7643043994903564,10.0,0.99181
118,9.62,2.775336980819702,10.0,0.99174
119,9.8,2.781503200531006,10.0,0.99167
120,9.82,2.7780239582061768,10.0,0.9916
121,9.82,2.768646478652954,10.0,0.99153
122,9.88,2.756864070892334,10.0,0.99146
123,9.82,2.74928617477417,10.0,0.99139
124,9.88,2.729926347732544,10.0,0.99132
125,9.82,2.7197885513305664,10.0,0.99125
126,9.88,2.6992180347442627,10.0,0.99118
127,9.82,2.696026563644409,10.0,0.99111
128,9.58,2.7140512466430664,10.0,0.99104
129,9.86,2.7033424377441406,10.0,0.99097
130,9.76,2.7013583183288574,10.0,0.9909
131,9.72,2.7017881870269775,10.0,0.99083
132,9.84,2.6958160400390625,10.0,0.99076
133,9.86,2.680476665496826,10.0,0.99069
134,9.82,2.6736626625061035,10.0,0.9906200000000001
135,9.84,2.6626148223876953,10.0,0.99055
136,9.58,2.6765224933624268,10.0,0.99048
137,9.76,2.683781862258911,10.0,0.99041
138,9.62,2.7002227306365967,10.0,0.99034
139,9.84,2.69913911819458,10.0,0.99027
140,9.84,2.706447124481201,10.0,0.9902
141,9.88,2.696523666381836,10.0,0.99013
142,9.8,2.689741373062134,10.0,0.99006
143,9.84,2.6977932453155518,10.0,0.98999
144,9.86,2.692401170730591,10.0,0.98992
145,9.82,2.6843149662017822,10.0,0.98985
146,9.76,2.6794698238372803,10.0,0.98978
147,9.78,2.684797525405884,10.0,0.98971
148,9.76,2.6892387866973877,10.0,0.98964
149,9.78,2.695068359375,10.0,0.98957
150,-10.09,2.6681175231933594,9.899999618530273,0.9895
151,-10.1,2.6414358615875244,9.800999641418457,0.98943
152,-10.1,2.6150219440460205,9.70298957824707,0.98936
153,-10.06,2.588871955871582,9.60595989227295,0.98929
154,-10.02,2.5629830360412598,9.509900093078613,0.98922
155,-10.03,2.537353277206421,9.414801597595215,0.98915
156,9.84,2.563000202178955,9.945653915405273,0.98908
157,-10.08,2.537370204925537,9.846197128295898,0.9890100000000001
158,-10.09,2.5119967460632324,9.747735023498535,0.98894
159,9.86,2.525324821472168,10.0,0.98887
160,9.86,2.5286073684692383,10.0,0.9888
161,-10.02,2.5033211708068848,9.899999618530273,0.98873
162,-10.049999999999999,2.478288412094116,9.800999641418457,0.98866
163,-10.02,2.453505277633667,9.70298957824707,0.98859
164,-10.02,2.4289703369140625,9.60595989227295,0.98852
165,9.86,2.4465503692626953,10.0,0.98845
166,-10.08,2.4220852851867676,9.899999618530273,0.98838
167,-10.049999999999999,2.3978641033172607,9.800999641418457,0.98831
168,-10.09,2.3738853931427,9.70298957824707,0.98824
169,-10.14,2.350146532058716,9.60595989227295,0.98817
170,-10.03,2.3266453742980957,9.509900093078613,0.9881
171,9.86,2.349130392074585,10.0,0.98803
172,9.86,2.3485267162323,10.0,0.98796
173,-10.02,2.3250412940979004,9.899999618530273,0.98789
174,-10.03,2.301790952682495,9.800999641418457,0.98782
175,9.88,2.321584701538086,10.0,0.98775
176,-10.1,2.2983686923980713,9.899999618530273,0.98768
177,-10.049999999999999,2.2753844261169434,9.800999641418457,0.98761
178,-10.03,2.2526309490203857,9.70298957824707,0.98754
179,-10.04,2.230104684829712,9.60595989227295,0.98747
180,-10.04,2.207803726196289,9.509900093078613,0.9874
181,-10.02,2.1857259273529053,9.414801597595215,0.98733
182,-10.12,2.1638684272766113,9.320653915405273,0.98726
183,-10.06,2.1422297954559326,9.227447509765625,0.98719
184,-10.11,2.120807647705078,9.135172843933105,0.98712
185,-10.129999999999999,2.0995993614196777,9.043821334838867,0.98705
186,-10.049999999999999,2.078603506088257,8.953383445739746,0.98698
187,-10.1,2.0578174591064453,8.863849639892578,0.98691
188,-10.08,2.0372393131256104,8.775211334228516,0.98684
189,-10.02,2.01686692237854,8.687458992004395,0.98677
190,-10.18,1.9966981410980225,8.600584030151367,0.9867
191,-10.04,1.976731300354004,8.514577865600586,0.98663
192,-10.12,1.9569640159606934,8.429431915283203,0.98656
193,-10.04,1.937394142150879,8.345137596130371,0.98649
194,-10.129999999999999,1.918020486831665,8.261686325073242,0.98642
195,-10.02,1.8988404273986816,8.179069519042969,0.98635
196,-10.09,1.8798516988754272,8.097278594970703,0.98628
197,-10.11,1.861053466796875,8.016305923461914,0.98621
198,-10.12,1.8424427509307861,7.936142921447754,0.98614
199,-10.09,1.8240184783935547,7.856781482696533,0.98607
200,-10.02,1.8057783842086792,7.778213977813721,0.986
201,-10.1,1.7877203226089478,7.700431823730469,0.98593
202,-10.02,1.7698432207107544,7.623427391052246,0.98586
203,-10.12,1.7521449327468872,7.5471930503845215,0.98579
204,-10.049999999999999,1.7346233129501343,7.471721172332764,0.98572
205,-10.12,1.7172774076461792,7.397004127502441,0.98565
206,-10.1,1.7001043558120728,7.323034286499023,0.98558
207,-10.129999999999999,1.683103322982788,7.2498040199279785,0.98551
208,-10.03,1.6662721633911133,7.177306175231934,0.98544
