episodio,recompensa,feromona_media,feromona_max,peso_aco_aplicado
0,6.420000000000032,1.0410202741622925,1.3531290292739868,1.0
1,9.14,1.081630825996399,1.7883894443511963,0.99993
2,9.66,1.1218347549438477,2.5412652492523193,0.99986
3,7.959999999999999,1.1616368293762207,2.627207040786743,0.99979
4,9.36,1.2010408639907837,3.204118490219116,0.99972
5,8.639999999999999,1.2400511503219604,3.319136381149292,0.99965
6,9.0,1.2786707878112793,3.585944652557373,0.99958
7,9.219999999999999,1.3169045448303223,3.806495428085327,0.99951
8,8.419999999999998,1.3547557592391968,3.768430471420288,0.99944
9,9.48,1.3922288417816162,3.77018141746521,0.99937
10,9.82,1.4293268918991089,3.7594783306121826,0.9993
11,9.58,1.4660539627075195,3.9599788188934326,0.99923
12,9.44,1.5024139881134033,4.27752161026001,0.99916
13,9.48,1.5384100675582886,4.628259181976318,0.99909
14,9.56,1.5740467309951782,5.101489067077637,0.99902
15,8.479999999999999,1.6093263626098633,5.445212364196777,0.99895
16,9.46,1.6442534923553467,6.131500244140625,0.99888
17,9.5,1.6788318157196045,7.27018404006958,0.99881
18,9.76,1.7130635976791382,7.6141486167907715,0.99874
19,9.64,1.7469533681869507,7.815784931182861,0.99867
20,9.52,1.7805042266845703,7.945960521697998,0.9986
21,9.54,1.8137197494506836,8.083891868591309,0.99853
22,9.56,1.8466029167175293,8.230325698852539,0.99846
23,9.62,1.8791571855545044,8.674338340759277,0.99839
24,9.52,1.9113860130310059,9.212594032287598,0.99832
25,9.86,1.9432927370071411,9.83475399017334,0.99825
26,9.74,1.9723002910614014,10.0,0.99818
27,9.74,2.002145528793335,10.0,0.99811
28,9.78,2.0299508571624756,10.0,0.99804
29,9.72,2.05753755569458,10.0,0.99797
30,9.86,2.0822196006774902,10.0,0.9979
31,9.68,2.109591484069824,10.0,0.99783
32,9.64,2.1386091709136963,10.0,0.99776
33,9.56,2.1673057079315186,10.0,0.99769
34,9.86,2.190624475479126,10.0,0.99762
35,9.74,2.214871883392334,10.0,0.99755
36,9.86,2.233217716217041,10.0,0.99748
