episodio,recompensa,feromona_media,feromona_max,peso_aco_aplicado
0,9.059999999999999,1.0410202741622925,1.5219148397445679,1.0
1,7.280000000000014,1.0816307067871094,1.7690240144729614,0.99993
2,9.28,1.1218347549438477,1.9149949550628662,0.99986
3,8.6,1.1616368293762207,2.3293800354003906,0.99979
4,8.719999999999999,1.2010407447814941,2.993605375289917,0.99972
5,9.219999999999999,1.240051031112671,3.6046946048736572,0.99965
6,9.379999999999999,1.2786707878112793,3.72993803024292,0.99958
7,7.700000000000005,1.3169045448303223,3.779595136642456,0.99951
8,9.44,1.3547557592391968,4.277513027191162,0.99944
9,9.52,1.3922287225723267,4.443071365356445,0.99937
10,8.28,1.4293268918991089,4.488463401794434,0.9993
11,8.92,1.4660539627075195,4.910210609436035,0.99923
12,9.66,1.5024139881134033,5.155226230621338,0.99916
13,9.5,1.5384100675582886,5.103673934936523,0.99909
14,8.98,1.5740464925765991,5.244164943695068,0.99902
15,9.34,1.6093263626098633,5.494753360748291,0.99895
16,9.6,1.6442534923553467,6.231230735778809,0.99888
17,9.26,1.6788315773010254,6.844594478607178,0.99881
18,9.76,1.7130637168884277,6.776148796081543,0.99874
19,9.72,1.7469533681869507,6.70838737487793,0.99867
20,9.62,1.7805039882659912,7.430777072906494,0.9986
21,9.52,1.8137197494506836,7.35646915435791,0.99853
22,9.82,1.8466029167175293,7.282904624938965,0.99846
23,9.82,1.8791571855545044,8.227664947509766,0.99839
24,9.84,1.9113860130310059,8.77038860321045,0.99832
25,9.76,1.9432928562164307,9.09935188293457,0.99825
26,9.62,1.9748800992965698,9.27949047088623,0.99818
27,9.5,2.0021378993988037,10.0,0.99811
28,9.74,2.0297224521636963,10.0,0.99804
29,9.7,2.0573971271514893,10.0,0.99797
30,9.72,2.087005376815796,10.0,0.9979
31,9.76,2.115540027618408,10.0,0.99783
32,9.58,2.144700527191162,10.0,0.99776
33,9.7,2.172858953475952,10.0,0.99769
34,9.219999999999999,2.1989617347717285,10.0,0.99762
35,9.66,2.2235734462738037,10.0,0.99755
36,9.68,2.2501895427703857,10.0,0.99748
37,9.84,2.264533519744873,10.0,0.99741
38,9.72,2.2858386039733887,10.0,0.99734
39,9.74,2.308192014694214,10.0,0.99727
40,9.6,2.331482172012329,10.0,0.9972
41,9.8,2.34940505027771,10.0,0.99713
42,9.88,2.3523929119110107,10.0,0.99706
43,9.88,2.3485705852508545,10.0,0.99699
44,9.78,2.36344313621521,10.0,0.99692
45,9.64,2.3837385177612305,10.0,0.99685
46,9.86,2.380080461502075,10.0,0.99678
47,9.78,2.3809847831726074,10.0,0.99671
48,9.76,2.4017326831817627,10.0,0.99664
49,9.88,2.3980929851531982,10.0,0.99657
50,9.78,2.4060025215148926,10.0,0.9965
51,9.8,2.4203615188598633,10.0,0.99643
52,9.84,2.4201529026031494,10.0,0.99636
53,9.74,2.4275686740875244,10.0,0.99629
54,9.86,2.4323747158050537,10.0,0.99622
55,9.74,2.4382164478302,10.0,0.99615
56,9.76,2.444446325302124,10.0,0.99608
57,9.72,2.4424548149108887,10.0,0.99601
58,9.84,2.4363980293273926,10.0,0.99594
59,9.76,2.4313485622406006,10.0,0.99587
60,9.74,2.4319162368774414,10.0,0.9958
61,9.82,2.427891254425049,10.0,0.99573
62,9.8,2.424375534057617,10.0,0.99566
63,9.74,2.4186012744903564,10.0,0.99559
64,9.76,2.4126980304718018,10.0,0.99552
65,9.8,2.4013257026672363,10.0,0.99545
66,9.76,2.395594596862793,10.0,0.99538
67,9.82,2.3872852325439453,10.0,0.99531
68,9.8,2.402693033218384,10.0,0.99524
69,9.82,2.4035067558288574,10.0,0.99517
70,9.84,2.3908138275146484,10.0,0.9951
71,9.84,2.3979239463806152,10.0,0.99503
72,9.76,2.4185025691986084,10.0,0.99496
73,9.8,2.4287309646606445,10.0,0.99489
74,9.84,2.418112277984619,10.0,0.99482
75,9.84,2.4042630195617676,10.0,0.99475
76,9.82,2.3912129402160645,10.0,0.99468
77,9.86,2.374443531036377,10.0,0.99461
78,9.76,2.3850531578063965,10.0,0.99454
79,9.84,2.3740596771240234,10.0,0.99447
80,9.84,2.38258957862854,10.0,0.9944
81,9.86,2.3694419860839844,10.0,0.99433
82,9.82,2.3603127002716064,10.0,0.99426
83,9.8,2.3749749660491943,10.0,0.99419
84,9.86,2.3634188175201416,10.0,0.99412
85,9.82,2.3804941177368164,10.0,0.99405
86,9.84,2.373086929321289,10.0,0.99398
87,9.86,2.356498956680298,10.0,0.99391
88,9.86,2.3400766849517822,10.0,0.99384
89,9.78,2.3413515090942383,10.0,0.99377
90,9.88,2.349445343017578,10.0,0.9937
91,9.86,2.3396506309509277,10.0,0.99363
92,9.76,2.3544809818267822,10.0,0.99356
93,9.86,2.348714828491211,10.0,0.99349
94,9.82,2.351930618286133,10.0,0.99342
95,9.76,2.3450675010681152,10.0,0.99335
96,9.78,2.33941388130188,10.0,0.99328
97,9.76,2.3263938426971436,10.0,0.99321
98,9.86,2.322319507598877,10.0,0.99314
99,9.84,2.3094279766082764,10.0,0.99307
100,9.86,2.2997446060180664,10.0,0.993
101,9.84,2.3021812438964844,10.0,0.99293
102,9.86,2.292858600616455,10.0,0.99286
103,9.84,2.286475896835327,10.0,0.99279
104,9.88,2.2764904499053955,10.0,0.99272
105,9.88,2.2606592178344727,10.0,0.99265
106,9.86,2.2472057342529297,10.0,0.99258
107,9.24,2.27215576171875,10.0,0.99251
108,9.86,2.2823522090911865,10.0,0.99244
109,9.86,2.272939682006836,10.0,0.99237
110,-4.999999999999938,2.2502102851867676,9.899999618530273,0.9923
111,9.88,2.248847723007202,10.0,0.99223
112,8.139999999999999,2.2773795127868652,9.953763008117676,0.99216
113,9.88,2.263530731201172,10.0,0.99209
114,9.86,2.272219181060791,10.0,0.99202
115,7.46000000000001,2.2839488983154297,10.0,0.99195
116,9.88,2.275407075881958,10.0,0.99188
117,9.88,2.2587757110595703,10.0,0.99181
118,9.86,2.2631006240844727,10.0,0.99174
119,9.88,2.25761079788208,10.0,0.99167
120,9.82,2.2630088329315186,10.0,0.9916
121,-4.999999999999938,2.2403786182403564,9.899999618530273,0.99153
122,-4.999999999999938,2.217974901199341,9.800999641418457,0.99146
123,9.88,2.2169349193573,10.0,0.99139
124,9.88,2.200888156890869,10.0,0.99132
125,9.88,2.196226119995117,10.0,0.99125
126,9.84,2.216639280319214,10.0,0.99118
127,-4.999999999999938,2.1944730281829834,9.899999618530273,0.99111
128,9.88,2.190697431564331,10.0,0.99104
129,9.88,2.174912929534912,10.0,0.99097
130,9.84,2.179220676422119,10.0,0.9909
131,9.88,2.165571451187134,10.0,0.99083
132,9.88,2.1612627506256104,10.0,0.99076
133,9.88,2.1472878456115723,10.0,0.99069
134,5.180000000000058,2.1518094539642334,10.0,0.9906200000000001
135,9.86,2.1696786880493164,10.0,0.99055
136,6.02000000000004,2.158858060836792,10.0,0.99048
137,-4.999999999999938,2.1372690200805664,9.899999618530273,0.99041
138,9.86,2.1473894119262695,10.0,0.99034
139,-4.999999999999938,2.125915288925171,9.899999618530273,0.99027
140,5.860000000000044,2.118412971496582,10.0,0.9902
141,9.88,2.1271791458129883,10.0,0.99013
142,8.319999999999999,2.12130069732666,10.0,0.99006
143,9.88,2.117523431777954,10.0,0.98999
144,9.88,2.1037116050720215,10.0,0.98992
145,9.88,2.088796854019165,10.0,0.98985
146,9.88,2.074031352996826,10.0,0.98978
147,-4.999999999999938,2.053291082382202,9.899999618530273,0.98971
148,9.12,2.0578625202178955,10.0,0.98964
149,9.86,2.0550944805145264,10.0,0.98957
150,-10.07,2.034543752670288,9.899999618530273,0.9895
151,9.82,2.059760808944702,10.0,0.98943
152,9.86,2.0756618976593018,10.0,0.98936
153,-10.04,2.0549049377441406,9.899999618530273,0.98929
154,9.86,2.0698437690734863,10.0,0.98922
155,-10.09,2.049145460128784,9.899999618530273,0.98915
156,-10.049999999999999,2.028653860092163,9.800999641418457,0.98908
157,-10.02,2.0083673000335693,9.70298957824707,0.9890100000000001
158,-10.06,1.9882837533950806,9.60595989227295,0.98894
159,-10.02,1.9684009552001953,9.509900093078613,0.98887
160,-10.02,1.9487167596817017,9.414801597595215,0.9888
161,-10.04,1.9292296171188354,9.320653915405273,0.98873
162,-10.02,1.9099376201629639,9.227447509765625,0.98866
163,-10.11,1.8908380270004272,9.135172843933105,0.98859
164,-10.049999999999999,1.8719295263290405,9.043821334838867,0.98852
165,-10.049999999999999,1.8532100915908813,8.953383445739746,0.98845
166,-10.04,1.834678292274475,8.863849639892578,0.98838
167,9.88,1.8673516511917114,9.60854434967041,0.98831
168,-10.02,1.8486782312393188,9.512458801269531,0.98824
169,9.86,1.8791972398757935,10.0,0.98817
170,-10.12,1.860405445098877,9.899999618530273,0.9881
171,-10.07,1.841801404953003,9.800999641418457,0.98803
172,-10.04,1.8233834505081177,9.70298957824707,0.98796
173,-10.02,1.805149793624878,9.60595989227295,0.98789
174,-10.1,1.7870981693267822,9.509900093078613,0.98782
175,-10.11,1.7692272663116455,9.414801597595215,0.98775
176,-10.129999999999999,1.7515350580215454,9.320653915405273,0.98768
177,-10.03,1.73401939868927,9.227447509765625,0.98761
178,-10.14,1.716679334640503,9.135172843933105,0.98754
179,-10.1,1.6995126008987427,9.043821334838867,0.98747
180,-10.08,1.6825175285339355,8.953383445739746,0.9874
181,-10.1,1.6656925678253174,8.863849639892578,0.98733
182,-10.049999999999999,1.6490354537963867,8.775211334228516,0.98726
183,-10.03,1.632544994354248,8.687458992004395,0.98719
184,-10.11,1.6162196397781372,8.600584030151367,0.98712
185,-10.11,1.6000574827194214,8.514577865600586,0.98705
186,-10.129999999999999,1.5840569734573364,8.429431915283203,0.98698
187,-10.129999999999999,1.5682164430618286,8.345137596130371,0.98691
188,-10.04,1.5525341033935547,8.261686325073242,0.98684
189,-10.1,1.5370091199874878,8.179069519042969,0.98677
190,-10.03,1.5216388702392578,8.097278594970703,0.9867
191,-10.11,1.506422519683838,8.016305923461914,0.98663
192,-10.02,1.4913580417633057,7.936142921447754,0.98656
193,-10.18,1.4764444828033447,7.856781482696533,0.98649
194,-10.129999999999999,1.4616801738739014,7.778213977813721,0.98642
195,-10.12,1.4470635652542114,7.700431823730469,0.98635
196,-10.03,1.4325926303863525,7.623427391052246,0.98628
197,-10.1,1.4182668924331665,7.5471930503845215,0.98621
198,-10.04,1.4040842056274414,7.471721172332764,0.98614
199,-10.08,1.3900436162948608,7.397004127502441,0.98607
200,-10.38,1.376143217086792,7.323034286499023,0.986
201,-10.03,1.3623815774917603,7.2498040199279785,0.98593
202,-10.08,1.3487578630447388,7.177306175231934,0.98586
203,-10.129999999999999,1.3352702856063843,7.105533123016357,0.98579
204,-10.129999999999999,1.3219175338745117,7.034477710723877,0.98572
205,-10.03,1.3086984157562256,6.964132785797119,0.98565
206,-10.12,1.2956113815307617,6.894491672515869,0.98558
207,-10.02,1.2826552391052246,6.825546741485596,0.98551
208,-10.04,1.2698286771774292,6.757291316986084,0.98544
209,-10.129999999999999,1.25713050365448,6.689718246459961,0.98537
210,-10.1,1.2445590496063232,6.62282133102417,0.9853
211,-10.02,1.2321135997772217,6.556593418121338,0.98523
212,-10.04,1.219792366027832,6.491027355194092,0.98516
213,-10.04,1.207594394683838,6.426116943359375,0.98509
214,-10.1,1.1955186128616333,6.361855983734131,0.98502
215,-10.02,1.183563470840454,6.298237323760986,0.98495
216,-10.14,1.1717278957366943,6.235255241394043,0.98488
217,-10.02,1.1600104570388794,6.172902584075928,0.98481
218,-10.04,1.148410439491272,6.111173629760742,0.98474
219,-10.12,1.136926293373108,6.05006217956543,0.98467
220,-10.1,1.1255571842193604,5.989561557769775,0.9846
221,-10.03,1.1143014430999756,5.929666042327881,0.98453
222,-10.12,1.1031585931777954,5.8703694343566895,0.98446
223,-10.1,1.0921268463134766,5.811666011810303,0.98439
224,-10.03,1.0812057256698608,5.753549575805664,0.98432
225,-10.129999999999999,1.070393681526184,5.696013927459717,0.98425
226,-10.1,1.0596897602081299,5.639053821563721,0.98418
227,-10.02,1.0490928888320923,5.582663536071777,0.98411
228,-10.129999999999999,1.0386018753051758,5.52683687210083,0.98404
229,-10.02,1.0287227630615234,5.471568584442139,0.98397
230,-10.12,1.019001841545105,5.416852951049805,0.9839
231,-10.03,1.00937819480896,5.36268424987793,0.98383
232,-10.08,0.9998508095741272,5.309057235717773,0.98376
233,-10.1,0.990418553352356,5.255966663360596,0.98369
234,-10.02,0.9810807108879089,5.203406810760498,0.98362
235,-10.12,0.971836268901825,5.151372909545898,0.98355
236,-10.14,0.9626842141151428,5.099859237670898,0.98348
237,-10.129999999999999,0.9536237120628357,5.048860549926758,0.98341
238,-10.11,0.9446538686752319,4.9983720779418945,0.98334
239,-10.02,0.9357736706733704,4.948388576507568,0.98327
240,-10.02,0.9269822835922241,4.898904800415039,0.9832
241,-10.02,0.9182787537574768,4.849915981292725,0.98313
242,-10.03,0.9096623063087463,4.801416873931885,0.98306
243,-10.04,0.9011319875717163,4.7534027099609375,0.98299
244,-10.09,0.8926869630813599,4.705868721008301,0.98292
245,-10.1,0.8843264579772949,4.658810138702393,0.98285
246,-10.1,0.8760495781898499,4.612222194671631,0.98278
247,-10.03,0.8678554892539978,4.566100120544434,0.98271
248,-10.02,0.8597431778907776,4.520439147949219,0.98264
249,-10.08,0.8517121076583862,4.4752349853515625,0.98257
250,-10.129999999999999,0.8437612652778625,4.430482864379883,0.9825
251,-10.129999999999999,0.835889995098114,4.386178016662598,0.98243
252,-10.08,0.8280974626541138,4.342316150665283,0.98236
253,-10.17,0.820386528968811,4.298892974853516,0.98229
254,-10.03,0.8127540946006775,4.255904197692871,0.98222
255,-10.129999999999999,0.805198073387146,4.213345050811768,0.98215
256,-10.03,0.7977175116539001,4.1712117195129395,0.98208
257,-10.02,0.7903116941452026,4.129499435424805,0.98201
258,-10.08,0.7829800844192505,4.088204383850098,0.98194
259,-10.25,0.7757216691970825,4.0473222732543945,0.98187
260,-10.1,0.7685359120368958,4.00684928894043,0.9818
261,-10.12,0.7614219784736633,3.9667809009552,0.98173
262,-10.1,0.7543792128562927,3.9271130561828613,0.98166
263,-10.12,0.7474067807197571,3.8878419399261475,0.98159
264,-10.09,0.7405042052268982,3.848963499069214,0.98152
265,-10.129999999999999,0.7336705923080444,3.810473918914795,0.98145
266,-10.1,0.7269101142883301,3.772369146347046,0.98138
267,-10.1,0.7202174663543701,3.7346456050872803,0.98131
268,-10.1,0.7135919332504272,3.6972992420196533,0.98124
269,-10.03,0.7070325016975403,3.6603262424468994,0.98117
270,-10.1,0.700538694858551,3.623723030090332,0.9811
271,-10.1,0.6941098570823669,3.5874857902526855,0.98103
272,-10.04,0.6877453327178955,3.5516109466552734,0.98096
273,-10.129999999999999,0.6814443469047546,3.516094923019409,0.98089
274,-10.02,0.6752064824104309,3.480933904647827,0.98082
275,-10.04,0.6690309643745422,3.44612455368042,0.98075
276,-10.11,0.6629171371459961,3.411663293838501,0.98068
277,-10.02,0.656864583492279,3.377546787261963,0.98061
278,-10.1,0.6508724689483643,3.343771457672119,0.98054
279,-10.04,0.6449402570724487,3.310333728790283,0.98047
280,-10.09,0.6390673518180847,3.2772305011749268,0.9804
281,-10.11,0.6332541704177856,3.2444581985473633,0.98033
282,-10.129999999999999,0.6275032162666321,3.2120137214660645,0.98026
283,-10.02,0.6218098402023315,3.179893732070923,0.98019
284,-10.03,0.6161733865737915,3.148094892501831,0.98012
285,-10.1,0.610593318939209,3.1166138648986816,0.98005
286,-10.129999999999999,0.6050690412521362,3.0854477882385254,0.97998
287,-10.12,0.5995999574661255,3.054593324661255,0.97991
288,-10.25,0.5941855907440186,3.024047374725342,0.97984
289,-10.03,0.5888254046440125,2.993806838989258,0.97977
290,-10.129999999999999,0.5835188031196594,2.9638688564300537,0.9797
291,-10.1,0.5782651901245117,2.934230089187622,0.97963
292,-10.03,0.5730642080307007,2.9048879146575928,0.97956
293,-10.11,0.5679152607917786,2.8758389949798584,0.97949
294,-10.1,0.5628176927566528,2.847080707550049,0.97942
295,-10.14,0.5577712059020996,2.8186099529266357,0.97935
296,-10.11,0.5527750253677368,2.79042387008667,0.97928
297,-10.04,0.5478289723396301,2.762519598007202,0.97921
298,-10.049999999999999,0.5429323315620422,2.7348945140838623,0.97914
299,-10.11,0.5380845665931702,2.707545518875122,0.97907
300,-10.08,0.5332854390144348,2.6804699897766113,0.979
301,-10.24,0.5285341739654541,2.65366530418396,0.97893
302,-10.08,0.5238304734230042,2.6271286010742188,0.97886
303,-10.11,0.519173800945282,2.6008572578430176,0.97879
304,-10.02,0.5145637392997742,2.5748486518859863,0.97872
305,-10.19,0.5099997520446777,2.549100160598755,0.97865
306,-10.12,0.5054813027381897,2.523609161376953,0.97858
307,-10.12,0.5010092258453369,2.498373031616211,0.97851
308,-10.1,0.4965858459472656,2.4733893871307373,0.97844
309,-10.12,0.49220672249794006,2.448655605316162,0.97837
310,-10.12,0.4878714084625244,2.4241690635681152,0.9783
311,-10.03,0.4835794270038605,2.3999273777008057,0.97823
312,-10.11,0.4793303608894348,2.3759281635284424,0.97816
313,-10.1,0.4751237630844116,2.3521687984466553,0.97809
314,-10.1,0.47095930576324463,2.3286471366882324,0.97802
315,-10.11,0.46683642268180847,2.305360794067383,0.97795
316,-10.04,0.4627547860145569,2.2823071479797363,0.97788
317,-10.11,0.45871400833129883,2.259484052658081,0.97781
318,-10.03,0.4547135829925537,2.236889123916626,0.97774
319,-10.02,0.45075318217277527,2.214520215988159,0.97767
320,-10.25,0.4468323886394501,2.1923749446868896,0.9776
321,-10.129999999999999,0.4429508149623871,2.1704511642456055,0.97753
322,-10.11,0.4391080439090729,2.1487467288970947,0.97746
323,-10.09,0.435303658246994,2.1272592544555664,0.97739
324,-10.08,0.431537389755249,2.1059865951538086,0.97732
325,-10.12,0.4278087615966797,2.0849268436431885,0.97725
326,-10.02,0.42411741614341736,2.064077615737915,0.97718
327,-10.03,0.420462965965271,2.0434367656707764,0.97711
328,-10.12,0.41684505343437195,2.0230023860931396,0.97704
329,-10.1,0.4132646918296814,2.002772331237793,0.97697
330,-10.09,0.4097238779067993,1.982744574546814,0.9769
331,-10.04,0.4062184691429138,1.9629170894622803,0.97683
332,-10.02,0.40274810791015625,1.943287968635559,0.97676
333,-10.049999999999999,0.39931535720825195,1.9238550662994385,0.97669
334,-10.03,0.3959190845489502,1.9046164751052856,0.97662
335,-10.1,0.3925568759441376,1.8855702877044678,0.97655
336,-10.1,0.3892282247543335,1.866714596748352,0.97648
337,-10.03,0.38593292236328125,1.8480474948883057,0.97641
338,-10.11,0.38267049193382263,1.8295670747756958,0.97634
339,-10.1,0.3794407248497009,1.8112714290618896,0.97627
340,-10.17,0.3762432932853699,1.793158769607544,0.9762
341,-10.23,0.37307778000831604,1.7752271890640259,0.97613
342,-10.03,0.3699439764022827,1.7574748992919922,0.97606
343,-10.02,0.36684146523475647,1.7399001121520996,0.97599
344,-10.12,0.3637727200984955,1.7225011587142944,0.97592
345,-10.14,0.36073699593544006,1.7052761316299438,0.97585
346,-10.03,0.3577316701412201,1.6882233619689941,0.97578
347,-10.1,0.3547564148902893,1.6713411808013916,0.97571
348,-10.03,0.35181161761283875,1.654627799987793,0.97564
349,-10.129999999999999,0.348900705575943,1.6380815505981445,0.97557
350,-10.03,0.34601882100105286,1.6217007637023926,0.9755
351,-10.02,0.343170702457428,1.6054837703704834,0.97543
352,-10.129999999999999,0.34035125374794006,1.5894289016723633,0.97536
353,-10.129999999999999,0.3375599980354309,1.573534607887268,0.97529
354,-10.11,0.334796667098999,1.557799220085144,0.97522
355,-10.1,0.33206096291542053,1.542221188545227,0.97515
356,-10.23,0.32935255765914917,1.526798963546753,0.97508
357,-10.129999999999999,0.326671302318573,1.5115309953689575,0.97501
358,-10.34,0.3240213394165039,1.4964157342910767,0.97494
359,-10.02,0.3213984966278076,1.4814516305923462,0.97487
360,-10.09,0.3188018798828125,1.466637134552002,0.9748
361,-10.11,0.3162311911582947,1.4519708156585693,0.97473
362,-10.03,0.31368622183799744,1.4374511241912842,0.97466
363,-10.129999999999999,0.3111708164215088,1.4230766296386719,0.97459
364,-10.129999999999999,0.30868157744407654,1.4088459014892578,0.97452
365,-10.049999999999999,0.3062171936035156,1.3947575092315674,0.97445
366,-10.11,0.3037774860858917,1.3808099031448364,0.97438
367,-10.02,0.30136215686798096,1.3670017719268799,0.97431
368,-10.03,0.2989709973335266,1.3533318042755127,0.97424
369,-10.02,0.2966037392616272,1.3397984504699707,0.97417
370,-10.02,0.2942601442337036,1.3264005184173584,0.9741
371,-10.1,0.29194000363349915,1.3131365776062012,0.97403
372,-10.1,0.2896430492401123,1.3000051975250244,0.97396
373,-10.1,0.28737711906433105,1.2870051860809326,0.97389
374,-10.1,0.28513601422309875,1.2741351127624512,0.97382
375,-10.09,0.282917320728302,1.2613937854766846,0.97375
376,-10.14,0.2807250916957855,1.2487798929214478,0.97368
377,-10.049999999999999,0.2785570025444031,1.2362921237945557,0.97361
378,-10.02,0.27641427516937256,1.2239291667938232,0.97354
379,-10.049999999999999,0.2742930054664612,1.211689829826355,0.97347
380,-10.02,0.27219292521476746,1.1995729207992554,0.9734
381,-10.17,0.27011385560035706,1.187577247619629,0.97333
382,-10.02,0.26805558800697327,1.1757014989852905,0.97326
383,-10.03,0.2660216987133026,1.1639444828033447,0.97319
384,-10.09,0.26400941610336304,1.152305006980896,0.97312
385,-10.08,0.26201730966567993,1.1407819986343384,0.97305
386,-10.02,0.2600450813770294,1.1293741464614868,0.97298
387,-10.04,0.258096307516098,1.1180803775787354,0.97291
388,-10.11,0.2561684250831604,1.106899619102478,0.97284
389,-10.18,0.25425979495048523,1.0958306789398193,0.97277
390,-10.14,0.2523716390132904,1.0848723649978638,0.9727
391,-10.1,0.25050610303878784,1.0740236043930054,0.97263
392,-10.129999999999999,0.2486591935157776,1.0632833242416382,0.97256
393,-10.12,0.2468307614326477,1.0526504516601562,0.97249
394,-10.12,0.24502135813236237,1.0421239137649536,0.97242
395,-10.02,0.24323439598083496,1.0317026376724243,0.97235
396,-10.12,0.24146924912929535,1.021385669708252,0.97228
397,-10.04,0.23972518742084503,1.011171817779541,0.97221
398,-10.12,0.23800142109394073,1.001060128211975,0.97214
399,-10.14,0.23629485070705414,0.9910495281219482,0.97207
400,-10.12,0.23460566997528076,0.981139063835144,0.972
401,-10.03,0.23293818533420563,0.9713276624679565,0.97193
402,-10.02,0.2312873899936676,0.9616143703460693,0.97186
403,-10.18,0.2296580821275711,0.951998233795166,0.97179
404,-10.049999999999999,0.22804516553878784,0.9424782395362854,0.97172
405,-10.25,0.22645102441310883,0.9330534934997559,0.97165
406,-10.12,0.2248753160238266,0.9237229824066162,0.97158
407,-10.04,0.22331534326076508,0.91448575258255,0.97151
408,-10.17,0.22177208960056305,0.9053409099578857,0.97144
409,-10.02,0.220248281955719,0.8962875008583069,0.97137
410,-10.09,0.21873964369297028,0.8873246312141418,0.9713
411,-10.129999999999999,0.2172461599111557,0.878451406955719,0.97123
412,-10.03,0.21576756238937378,0.8696668744087219,0.97116
413,-10.129999999999999,0.21430376172065735,0.8609701991081238,0.97109
414,-10.129999999999999,0.21285459399223328,0.8523604869842529,0.97102
415,-10.08,0.211419939994812,0.8438369035720825,0.97095
416,-10.09,0.210000142455101,0.8353985548019409,0.97088
417,-10.09,0.20859910547733307,0.8270446062088013,0.97081
418,-10.09,0.20721209049224854,0.8187741637229919,0.97074
419,-10.18,0.20583896338939667,0.8105864524841309,0.97067
420,-10.03,0.20447957515716553,0.8024805784225464,0.9706
421,-10.11,0.20313376188278198,0.7944557666778564,0.97053
422,-10.02,0.2018013745546341,0.786511242389679,0.97046
423,-10.14,0.2004823535680771,0.7786461114883423,0.97039
424,-10.11,0.19918036460876465,0.7708596587181091,0.97032
425,-10.1,0.19789263606071472,0.7631510496139526,0.9702500000000001
426,-10.09,0.19661778211593628,0.7555195689201355,0.97018
427,-10.1,0.1953599750995636,0.7479643821716309,0.97011
428,-10.11,0.19411702454090118,0.7404847741127014,0.97004
429,-10.12,0.19289015233516693,0.7330799102783203,0.96997
430,-10.1,0.19167554378509521,0.725749135017395,0.9699
431,-10.02,0.1904730498790741,0.7184916734695435,0.96983
432,-10.12,0.18928414583206177,0.7113067507743835,0.96976
433,-10.25,0.18811070919036865,0.7041937112808228,0.96969
434,-10.02,0.18695294857025146,0.697151780128479,0.96962
435,-10.11,0.18580791354179382,0.690180242061615,0.96955
436,-10.12,0.18467432260513306,0.6832784414291382,0.96948
437,-10.14,0.18355205655097961,0.6764456629753113,0.96941
438,-10.1,0.18244102597236633,0.669681191444397,0.96934
439,-10.11,0.18134111166000366,0.6629843711853027,0.96927
440,-10.03,0.18025219440460205,0.656354546546936,0.9692
441,-10.11,0.17917416989803314,0.6497910022735596,0.96913
442,-10.02,0.17810693383216858,0.6432930827140808,0.96906
443,-10.12,0.17705033719539642,0.6368601322174072,0.96899
444,-10.12,0.1760047972202301,0.6304915547370911,0.96892
445,-10.129999999999999,0.1749771237373352,0.624186635017395,0.96885
446,-10.03,0.1739620715379715,0.6179447770118713,0.96878
