episodio,recompensa,feromona_media,feromona_max,peso_aco_aplicado
0,6.320000000000034,1.0410202741622925,1.2889126539230347,1.0
1,5.460000000000052,1.0816305875778198,1.6407212018966675,0.99993
2,7.600000000000007,1.121834635734558,1.8645853996276855,0.99986
3,9.16,1.1616367101669312,1.9869753122329712,0.99979
4,9.62,1.2010406255722046,2.8128740787506104,0.99972
5,9.56,1.2400509119033813,3.0120182037353516,0.99965
6,8.76,1.2786706686019897,2.981898069381714,0.99958
7,8.82,1.3169045448303223,3.291062355041504,0.99951
8,9.28,1.3547556400299072,3.5444462299346924,0.99944
9,9.219999999999999,1.3922287225723267,4.150027275085449,0.99937
10,7.300000000000013,1.4293267726898193,4.330748558044434,0.9993
11,8.62,1.46605384349823,4.359905242919922,0.99923
12,9.72,1.5024139881134033,4.316306114196777,0.99916
13,9.66,1.5384100675582886,4.5672607421875,0.99909
14,9.52,1.5740464925765991,4.729921817779541,0.99902
15,9.36,1.6093263626098633,4.99512243270874,0.99895
16,9.34,1.6442534923553467,5.096686363220215,0.99888
17,8.78,1.6788314580917358,5.619491100311279,0.99881
18,9.58,1.7130637168884277,5.563296318054199,0.99874
19,9.74,1.7469533681869507,5.892278671264648,0.99867
20,8.879999999999999,1.7805042266845703,6.101213455200195,0.9986
21,9.62,1.8137197494506836,6.82967472076416,0.99853
22,7.999999999999998,1.8466029167175293,6.811378002166748,0.99846
23,9.86,1.8791571855545044,7.457550048828125,0.99839
24,9.74,1.9113861322402954,7.767590045928955,0.99832
25,9.34,1.9432927370071411,8.14445972442627,0.99825
26,9.66,1.9748800992965698,8.651250839233398,0.99818
27,9.28,2.0061516761779785,9.666229248046875,0.99811
28,9.54,2.0371108055114746,9.786957740783691,0.99804
29,9.6,2.063793659210205,10.0,0.99797
30,9.54,2.0869224071502686,10.0,0.9979
31,9.74,2.115621566772461,10.0,0.99783
32,9.6,2.1434450149536133,10.0,0.99776
33,9.8,2.170990228652954,10.0,0.99769
34,9.54,2.1995882987976074,10.0,0.99762
35,9.42,2.2217161655426025,10.0,0.99755
36,9.72,2.2492077350616455,10.0,0.99748
37,9.68,2.2766518592834473,10.0,0.99741
38,9.68,2.3038218021392822,10.0,0.99734
39,9.62,2.329115629196167,10.0,0.99727
40,9.8,2.3496243953704834,10.0,0.9972
41,9.76,2.3643083572387695,10.0,0.99713
42,9.8,2.380966901779175,10.0,0.99706
43,9.86,2.396651029586792,10.0,0.99699
44,9.72,2.4104504585266113,10.0,0.99692
45,9.72,2.4299895763397217,10.0,0.99685
46,9.84,2.4429471492767334,10.0,0.99678
47,9.82,2.457911968231201,10.0,0.99671
48,9.58,2.481024742126465,10.0,0.99664
49,9.72,2.500363349914551,10.0,0.99657
50,9.84,2.5144717693328857,10.0,0.9965
51,9.82,2.533374786376953,10.0,0.99643
52,9.82,2.548950433731079,10.0,0.99636
53,9.76,2.5668978691101074,10.0,0.99629
54,9.84,2.5783462524414062,10.0,0.99622
55,9.76,2.597120523452759,10.0,0.99615
56,9.78,2.611994504928589,10.0,0.99608
57,9.84,2.617145538330078,10.0,0.99601
58,9.86,2.6173458099365234,10.0,0.99594
59,9.8,2.626091241836548,10.0,0.99587
60,9.68,2.640281915664673,10.0,0.9958
61,9.84,2.630929470062256,10.0,0.99573
62,9.8,2.622553586959839,10.0,0.99566
63,9.84,2.6093380451202393,10.0,0.99559
64,9.8,2.597714424133301,10.0,0.99552
65,9.62,2.6155874729156494,10.0,0.99545
66,9.82,2.6271467208862305,10.0,0.99538
67,9.74,2.6376984119415283,10.0,0.99531
68,9.86,2.6445910930633545,10.0,0.99524
69,9.66,2.65236234664917,10.0,0.99517
70,9.74,2.6443188190460205,10.0,0.9951
71,9.86,2.6499722003936768,10.0,0.99503
72,9.88,2.6474857330322266,10.0,0.99496
73,9.8,2.6514861583709717,10.0,0.99489
74,9.84,2.6544101238250732,10.0,0.99482
75,9.82,2.6486992835998535,10.0,0.99475
76,9.82,2.647665500640869,10.0,0.99468
77,9.84,2.6369266510009766,10.0,0.99461
78,9.82,2.6246581077575684,10.0,0.99454
79,9.82,2.6187055110931396,10.0,0.99447
80,9.68,2.616537094116211,10.0,0.9944
81,9.76,2.6081438064575195,10.0,0.99433
82,9.88,2.6183764934539795,10.0,0.99426
83,9.86,2.6138927936553955,10.0,0.99419
84,9.78,2.61057186126709,10.0,0.99412
85,9.84,2.5926291942596436,10.0,0.99405
86,9.7,2.5976552963256836,10.0,0.99398
87,9.74,2.6129069328308105,10.0,0.99391
88,9.86,2.5999715328216553,10.0,0.99384
89,9.86,2.5999574661254883,10.0,0.99377
90,9.42,2.621142864227295,10.0,0.9937
91,9.82,2.6146159172058105,10.0,0.99363
92,9.88,2.6020750999450684,10.0,0.99356
93,9.88,2.5886852741241455,10.0,0.99349
94,9.84,2.5977108478546143,10.0,0.99342
95,9.8,2.586529493331909,10.0,0.99335
96,9.78,2.5830206871032715,10.0,0.99328
97,9.86,2.5837419033050537,10.0,0.99321
